,pid,pkey,pauthor,peditor,ptitle,pyear,paddress,ppublisher,pseries,pjournal,pjournalfull,pbooktitle,pbooktitlefull,ptype
565,139948,conf/cqre/schmeh99,klaus schmeh,,a method for developing public key infrastructure models,1999,,,,,,,,article
566,440555,conf/ideas/vaduvad01,anca vaduva|klaus r dittrich,,metadata management for data warehousing between vision and reality,2001,,,,,,ideas,automated and algorithmic debugging,inproceedings
567,270557,conf/gi/schneider88,michael schneider,,valueaddedservices im juristischen bereich  perspektiven und grenzen,1988,,,,,,gi jahrestagung ,grid and cooperative computing,phdthesis
568,2015073,journals/ieicet/bademwfk09,ahmet m kondoz|anil fernando|murat b badem|rajitha weerakkody,,design of a nonlinear quantizer for transform domain dvc,2009,,,,ieice transactions,international journal of algebra and computation ijac,,messung,inproceedings
569,2296423,journals/wi/brandlbs07,martin bichler|michael strobel|reinhard brandl,,cost accounting for shared it infrastructures,2007,,,,wirtschaftsinformatik,international journal of bioinformatics research and applications ijbra,,messung,article
570,438652,conf/icws/geebelenktj10,eddy truyen|eryk kulikowski|kristof geebelen|wouter joosen,,a mvc framework for policybased adaptation of workflow processes a case study on confidentiality,2010,,,,,,icws,international symposium on intelligence computation and applications,inproceedings
571,2027875,journals/ijfcs/asahiromoz07,eiji miyano|hirotaka ono|kouhei zenmyo|yuichi asahiro,,graph orientation algorithms to minimize the maximum outdegree,2007,,,,int j found comput sci,journal of information technology education,,messung,article
572,701792,conf/sigmod/govindarajurm05,dinesh manocha|naga k govindaraju|nikunj raghuvanshi,,fast and approximate stream mining of quantiles and frequencies using graphics processors,2005,,,,,,sigmod conference,simulated evolution and learning,inproceedings
573,2061159,journals/ipm/ercanc07,gonenc ercan|ilyas cicekli,,using lexical chains for keyword extraction,2007,,,,inf process manage,international journal of knowledge management ijkm,ecir,international symposium on visual computing,article
574,1890333,journals/comgeo/agarwalgnrz04,an thai nguyen|daniel russel|leonidas j guibas|li zhang|pankaj k agarwal,,collision detection for deforming necklaces,2004,,,,comput geom,international journal of high performance computing and networking ijhpcn,,,article
575,1923889,journals/corr/abs-1002-3180,fabrizio caruso,,factorization of noncommutative polynomials,2010,,,,,,waifi,finitestate methods and natural language processing,article
576,172075,conf/dcc/chenz01,fuyan zhang|yisong chen,,feature difference classification in fractal image coding,2001,,,,,,icalt,international journal of computers and their applications,inproceedings
577,108477,conf/chi/schmidtdks10,albrecht schmidt|andrew l kun|anind k dey|wolfgang spiessl,,automotive user interfaces human computer interaction in the car,2010,,,,,,,messung,inproceedings
578,2242910,journals/tcs/moll76,robert moll,,an operator embedding theorem for complexity classes of recursive functions,1976,,,,theor comput sci,acm transactions on computation theory toct,,messung,article
579,301728,conf/huc/rachurimmrla10,andrius aucinas|cecilia mascolo|chris longworth|kiran k rachuri|mirco musolesi|peter j rentfrow,,emotionsense a mobile phones based adaptive platform for experimental social psychology research,2010,,,,,,,messung,inproceedings
580,593054,conf/mmns/yanggs04,guang yang |mario gerla|medy sanadidi,,adaptive video streaming in presence of wireless errors,2004,,,,,,mmns,applicable algebra in engineering,inproceedings
581,2102823,journals/jcst/dingyq02,dongxu qi|wei ding|weiqi yan,,digital image watermarking based on discrete wavelet transform,2002,,,,,,,,article
582,241649,conf/fjcc/rice86,john r rice,,parallelism in solving pdes,1986,,,,,,,,inproceedings
583,1978869,journals/eswa/spenderm06,bernard marr|jc spender,,how a knowledgebased approach might illuminate the notion of human capital and its measurement,2006,,,,,,,messung,incollection
584,10742,conf/ieeecit/lizgd10,guohui li|jianqiang du|pei zhao|sheng gao,,fkdb an kdb tree implementation over flash memory,2010,,,,,,,messung,inproceedings
585,652655,conf/qsic/linzw06,chunlei niu|haoran zheng|jun wei|lei li,,an adaptive caching mechanism for web services,2006,,,,,,qsic,algorithmic applications in management,inproceedings
586,344584,conf/iccv/weists07,heungyeung shum|jian sun|xiaoou tang|yichen wei,,interactive offline tracking for color objects,2007,,,,,,,messung,inproceedings
587,534260,conf/itc/pyronagjlmrt99,bruce long|carol pyron|george joos|james golab|mike alexander|nandu tendolkar|rajesh raina|robert f molyneaux,,dft advances in the motorolas mpc a powerpc g microprocessor,1999,,,,,,itc,iberian conference on pattern recognition and image analysis,inproceedings
588,1914841,journals/corr/abs-0801-3669,boaz barak|mohammad mahmoodyghidary,,merkle puzzles are optimal,2008,,,,corr,international journal of wireless information networks,,messung,article
589,230948,conf/europar/zanikolass04,rizos sakellariou|serafeim zanikolas,,towards a monitoring framework for worldwide grid information services,2004,,,,,,,messung,inproceedings
590,671149,conf/sat/kojevnikovky09,alexander s kulikov|arist kojevnikov|grigory yaroslavtsev,,finding efficient circuits using satsolvers,2009,,,,,,,,inproceedings
591,2296938,journals/wicomm/spencerss04,a lee swindlehurst|quentin h spencer|thomas svantesson,,performance of mimo spatial multiplexing algorithms using indoor channel measurements and models,2004,,,,wireless communications and mobile computing,international journal of information technology and management ijitm,,messung,article
592,430914,conf/icsnw/hessio04,cirano iochpe|guillermo nudelman hess|jose palazzo moreira de oliveira,,analysis patterns for the geographic database conceptual schema an ontology aided approach,2004,,,,,,icsnw,workshop on wireless mobile multimedia,inproceedings
593,1889894,journals/comcom/liutz09,shuang zhao|wenyu liu|zhenhua tang,,transmission distortion estimation for realtime video delivery over hybrid channels with bit errors and packet erasures,2009,,,,,,,,article
594,290559,conf/hicss/sekihot95,shinsuke tamura|tetsuo hasegawa|toshibumi seki|yasukuni okataku,,a faulttolerant architecture based on autonomous replicated objects,1995,,,,,,hicss ,brazilian workshop on bioinformatics,inproceedings
595,437651,conf/icws/engelen03,robert van engelen,,pushing the soap envelope with web services for scientific computing,2003,,,,,,pact,information retrieval,inproceedings
596,2016108,journals/ieicet/seojplk10,dong ku kim|jeongwook seo|jongho paik|seokpil lee|wongi jeon,,a wdftbased channel estimator with nonadaptive linear prediction in nonsample spaced channels,2010,,,,ieice transactions,international journal of algebra and computation ijac,,messung,article
597,633357,conf/phsn/cohend02,itai dabran|reuven cohen,,the lastcopy approach for distributed cache pruning in a cluster of http proxies,2002,,,,,,,messung,inproceedings
598,1956104,journals/dm/bryant96a,victor bryant,,a characterisation of some connected graphs and a comment on an algorithmic proof of brooks theorem,1996,,,,discrete mathematics,journal of information  knowledge management,,messung,incollection
599,548768,conf/jcdl/kochag04,anders ardo|koraljka golub|traugott koch,,browsing and searching behavior in the renardus web service a study based on log analysis,2004,,,,,,jcdl,workshop on electronic design,inproceedings
600,1913225,journals/corr/abs-cs-0505023,guillaume gardey|olivier f roux|olivier h roux,,state space computation and analysis of time petri nets,2005,,,,corr,international journal of wireless information networks,,messung,article
601,592128,conf/mmm/santoscss98,c a s santos|guido l de souza|jeanpierre courtiat|luiz fernando gomes soares,,formal specification and verification of hypermedia documents based on the nested context model,1998,,,,,,mmm,interactive distributed multimedia systems and telecommunication services,inproceedings
602,2008415,journals/ieicet/suzukikf07,eiji fujiwara|kazuyoshi suzuki|toshihiko kashiyama,,a general class of mspotty byte error control codes,2007,,,,,,,messung,article
603,401654,conf/iconip/wuwnmz06,anant madabhushi|cong wang|sin chun ng|yixin zhong|yunfeng wu,,breast cancer diagnosis using neuralbased linear fusion strategies,2006,,,,,,,messung,phdthesis
604,25033,conf/acl/liucj07,joyce yue chai|rong jin|yi liu,,automated vocabulary acquisition and interpretation in multimodal conversational systems,2007,,,,,,acl,international workshop on advanced research in geographic information systems,phdthesis
605,169967,conf/dawak/albrechtbr00,andreas bauer |jens albrecht|m redert,,supporting hot spots with materialized views,2000,,,,,,dawak,international conference on image analysis and processing,inproceedings
606,2311342,journals/amc/cafarogak10,adom giffin|c cafaro|dh kim|s a ali,,reexamination of an information geometric construction of entropic indicators of complexity,2010,,,,applied mathematics and computation,international journal on document analysis and recognition ijdar,,messung,inproceedings
607,758505,conf/vrml/wojciechowskiwwc04,krzysztof walczak|martin white|rafal wojciechowski|wojciech cellary,,building virtual and augmented reality museum exhibitions,2004,,,,,,webd,asian symposium on programming languages and systems,inproceedings
608,2090812,journals/jcc/bordnerh03,andrew j bordner|g a huber,,boundary element solution of the linear poissonboltzmann equation and a multipole method for the rapid calculation of forces on macromolecules in solution,2003,,,,journal of computational chemistry,kunstliche intelligenz,,messung,article
609,265685,conf/gecco/wus07,hao wu|jonathan l shapiro,,parameter crossvalidation and earlystopping in univariate marginal distribution algorithm,2007,,,,,,gecco,parallel architectures and languages europe,inproceedings
610,611901,conf/oopsla/clarkepn98,david g clarke|james noble|john potter,,ownership types for flexible alias protection,1998,,,,,,,messung,inproceedings
611,712130,conf/smc/babbm07,brendan babb|frank w moore,,the best fingerprint compression standard yet,2007,,,,,,,messung,inproceedings
612,67783,conf/atc/yangjt06,hai jin|sirui yang|xuping tu,,tobab a trendoriented bandwidth adaptive buffering in peertopeer streaming system,2006,,,,,,atc,empirical software engineering and measurement,inproceedings
613,100031,conf/ceas/martinnscj05,anil sewani|anthony d joseph|blaine nelson|karl chen|steve martin,,analyzing behavioral features for email classification,2005,,,,,,,,inproceedings
614,475082,conf/infocom/jools08,changhee joo|ness b shroff|xiaojun lin,,understanding the capacity region of the greedy maximal scheduling algorithm in multihop wireless networks,2008,,,,,,infocom,languages,inproceedings
615,108785,conf/cia/erfurthkrbl08,antje lessmann|christian erfurth|peter braun|steffen kern|wilhelm rossak,,mobisoft networked personal assistants for mobile users in everyday life,2008,,,,,,,,inproceedings
616,377314,conf/icip/basucw05,anup basu|irene cheng|tao wang,,balanced incomplete designs for d perceptual quality estimation,2005,,,,,,icip ,grid and pervasive computing,inproceedings
617,2255017,journals/tit/adamsm89,carlisle m adams|henk meijer,,securityrelated comments regarding mcelieces publickey cryptosystem,1989,,,,ieee transactions on information theory,international journal of ambient computing and intelligence ijaci,,messung,article
618,303364,conf/iaai/reynoldsb93,david reynolds|tim beck,,tennessee offender management information system,1993,,,,,,,messung,inproceedings
619,891918,conf/ipc/okabetydi07,atsushi inoue|hirokazu takatama|kenichi yajima|nobuo okabe|yusuke doi,,field experiment of an extendable traceability system application to the quality control of beefproduct distribution,2007,,,,,,,messung,inproceedings
620,479534,conf/ipco/dashgl07,andrea lodi|oktay gunluk|sanjeeb dash,,on the mir closure of polyhedra,2007,,,,,,ipco,acm symposium on parallel algorithms and architectures,inproceedings
621,154885,conf/cw/chenglxwdj08,bao li|gang dang|kai xu |shiyao jin|yanzhen wang|zhiquan cheng,,an errorresilient arithmetic coding algorithm for compressed meshes,2008,,,,,,cw,architectural support for programming languages and operating systems,inproceedings
622,604389,conf/nips/carnevaletcb94,brenda j claiborne|kenneth y tsai|nicholas t carnevale|thomas h brown,,the electrotonic transformation a tool for relating neuronal form to function,1994,,,,,,,messung,inproceedings
623,334860,conf/icccn/kimrd04,jonghyun kim|sridhar radhakrishnan|sudarshan k dhall,,measurement and analysis of worm propagation on internet network topology,2004,,,,,,icccn,symposium on operating systems principles,inproceedings
624,2273786,journals/tog/xulzcxc10,daniel cohenor|hao zhang |honghua li|kai xu |yueshan xiong|zhiquan cheng,,stylecontent separation by anisotropic part scales,2010,,,,acm trans graph,mobile networks and applications monet,,,article
625,519811,conf/isnn/taowjz07,liu tao|ma jun|yu zhiping|zhang wenjun,,improvement techniques for the embased neural network approach in rf components modeling,2007,,,,,,,,article
626,615576,conf/otm/pipraniwh08,baba piprani|chong wang |keqing he,,a metamodel for enabling a service oriented architecture,2008,,,,,,otm workshops,international conference on parallel processing,phdthesis
627,475511,conf/infocom/belzarenafp09,andres ferragut|fernando paganini|pablo belzarena,,network bandwidth allocation via distributed auctions with time reservations,2009,,,,,,,messung,inproceedings
628,2302054,journals/jvcir/songlcrl10,andrew f laine|henry rusinek|qun chen|ting song|vivian s lee,,an automated threedimensional plus time registration framework for dynamic mr renography,2010,,,,,,,messung,inproceedings
629,500612,conf/iscas/kongrattanaprasertapco01,b pungsiri|kosin chamnongthai|m okuda|s arunrungrusmi|s kongrattanaprasert,,nondestructive maturity determination of durian by force vibration,2001,,,,,,iscas ,australasian conference on information security and privacy,inproceedings
630,2290815,journals/tvlsi/elesdpp00,alex doboli|paul pop|petru eles|zebo peng,,scheduling with bus access optimization for distributed embedded systems,2000,,,,ieee trans vlsi syst,journal of convergence information technology,,,incollection
631,528663,conf/isss/muhammadr99,kaushik roy|khurram muhammad,,a graph theoretic approach for design and synthesis of multiplierless fir filters,1999,,,,,,,messung,inproceedings
632,886323,conf/mie/lungeanutbm09,diana lungeanu|george i mihalas|otilia s bersan|rochelle e tractenberg,,towards the integration of medical informatics education for clinicians into the medical curriculum,2009,,,,,,mie,advanced video and signal based surveillance,inproceedings
633,2277643,journals/ton/casadofplgms09,jianying luo|justin pettit|martin casado|michael j freedman|natasha gude|nick mckeown|scott shenker,,rethinking enterprise network control,2009,,,,,,,,article
634,730931,conf/stoc/guptak09,amit kumar|anupam gupta,,a constantfactor approximation for stochastic steiner forest,2009,,,,,,,,inproceedings
635,2307105,journals/amc/hadje08,ahmed driss aiat hadj|mohamed elouafi,,on the characteristic polynomial eigenvectors and determinant of a pentadiagonal matrix,2008,,,,applied mathematics and computation,international journal on document analysis and recognition ijdar,,messung,article
636,744800,conf/uml/overgaardp98,gunnar overgaard|karin palmkvist,,a formal approach to use cases and their relationships,1998,,,,,,,messung,inproceedings
637,823859,conf/iwcmc/blumenthaltbfkl06,carsten buschmann|dirk timmermann|jan blumenthal|jochen koberstein|norbert luttenberger|stefan fischer,,minimal transmission power as distance estimation for precise localization in sensor networks,2006,,,,,,iwcmc,designs,inproceedings
638,352208,conf/icde/silbersteinby06,adam silberstein|jun yang |rebecca braynard,,energyefficient continuous isoline queries in sensor networks,2006,,,,,,,,article
639,343488,conf/iccv/dinhts01,greg turk|gregory g slabaugh|huong quynh dinh,,reconstructing surfaces using anisotropic basis functions,2001,,,,,,,messung,phdthesis
640,797122,conf/skg/dingww05,chunlan wang|maoguang wang|ying ding,,the research on data semantic description framework using rdfxml,2005,,,,,,skg,neural information processing systems,inproceedings
641,308883,conf/ic/xingp04,berndpeter paris|song xing,,on exponential growth of the web,2004,,,,,,international conference on internet computing,ifip international conference on testing of communicating systems,inproceedings
642,2383723,journals/ijbc/balyaprcr04,angel rodriguezvazquez|david balya|istvan petras|ricardo carmona|tamas roska,,implementing the multilayer retinal model on the complexcell cnnum chip prototype,2004,,,,i j bifurcation and chaos,international journal on software tools for technology transfer sttt,,,inproceedings
643,1942589,journals/dc/fichhs06,danny hendler|faith ellen fich|nir shavit,,on the inherent weakness of conditional primitives,2006,,,,,,,messung,article
644,296229,conf/hoti/linlyl02,shunchin yang|yineng lin|yingdar lin|yusheng lin,,diffserv over network processors implementation and evaluation,2002,,,,,,,,article
645,631280,conf/percom/brollsrphws07,albrecht schmidt|enrico rukzio|gregor broll|john hamard|massimo paolucci|matthias wagner|sven siorpaes,,supporting mobile service usage through physical mobile interaction,2007,,,,,,percom,new interfaces for musical expression,inproceedings
646,436188,conf/icwe/liuhnt09,bin liu|hao han|takehiro tokuda|tomoya noro,,personal news rss feeds generation using existing news feeds,2009,,,,,,icwe,international symposium on computers and communications,inproceedings
647,1915052,journals/corr/abs-0802-2027,martin ziegler|wouter m koolen,,kolmogorov complexity theory over the reals,2008,,,,corr,international journal of wireless information networks,,messung,article
648,622105,conf/patmos/mingchezjkl07,jianjun guo|kui dai|mingche lai|shen li|zhiying wang,,template vertical dictionarybased program compression scheme on the tta,2007,,,,,,patmos,autonomous agents and multiagent systems,inproceedings
649,2160118,journals/nar/kwonsks09,hideaki sugawara|yasumasa shigemoto|yeondae kwon|yoshikazu kuwana,,web api for biology with a workflow navigation system,2009,,,,nucleic acids research,international journal of ad hoc and ubiquitous computing ijahuc,,messung,article
650,236886,conf/fbt/gehrke97,thomas gehrke,,zum einsatz einer graphischen entwurfsmethode zur erstellung einer prozessorientierten spezifikation,1997,,,,,,fbt,international conference on computer communications and networks,phdthesis
651,660712,conf/rtcsa/hungpgzll06,le xuan hung|pho duc giang|sungyoung lee|tran van phuong|yonil zhung|youngkoo lee,,security for ubiquitous computing problems and proposed solutionl,2006,,,,,,rtcsa,product focused software process improvement,inproceedings
652,326370,conf/icc/marquezanngndb09,clarissa cassales marquezan|dominique dudkowski|giorgio nunzi|jeferson campos nobre|lisandro zambenedetti granville|marcus brunner,,distributed reallocation scheme for virtual network resources,2009,,,,,,,messung,inproceedings
653,1955957,journals/dm/shapirosv96,alek vainshtein|boris shapiro|michael shapiro,,topology of intersections of schubert cells and hecke algebra,1996,,,,discrete mathematics,journal of information  knowledge management,,messung,article
654,541472,conf/iva/mcroriessbp09,catherine pelachaud|elisabetta bevacqua|etienne de sevin|ian sneddon|margaret mcrorie,,a model of personality and emotional traits,2009,,,,,,,messung,inproceedings
655,1924782,journals/corr/abs-1004-1077,achille frigeri|angelo morzenti|marcello m bersani|matteo pradella|matteo rossi|pierluigi san pietro,,bounded reachability for temporal logic over constraint systems,2010,,,,corr,international journal of wireless information networks,,messung,article
656,820046,conf/cec/hoquecs07,abdul sattar|madhu chetty|tamjidul hoque,,protein folding prediction in d fcc hp lattice model using genetic algorithm,2007,,,,,,ieee congress on evolutionary computation,workshop on power and timing modeling,inproceedings
657,165151,conf/das/labahnlmmt08,david tausky|edward lank|george labahn|mirette s marzouk|scott maclean,,mathbrush a system for doing math on penbased devices,2008,,,,,,,messung,phdthesis
658,189052,conf/dsd/amblardll02,fabienne lagnier|michel levy|paul amblard,,using formal tools to study complex circuits behaviour,2002,,,,,,dsd,international conference on mems,phdthesis
659,446149,conf/ifip1-7/shiba04,carlisle m adams|gregor von bochmann|jianqiang shi,,a trust model with statistical foundation,2004,,,,,,,messung,inproceedings
660,531045,conf/isvlsi/figueroamcb06,esteban matamala|gonzalo carvajal|miguel figueroa|seth bridges,,adaptive signal processing in mixedsignal vlsi with antihebbian learning,2006,,,,,,isvlsi,ieee transactions on automation science and engineering,inproceedings
661,788034,conf/www/chatterjeea05,gopalan arun|ramkrishna chatterjee,,data versioning techniques for internet transaction management,2005,,,,,,www special interest tracks and posters,international conference on wireless communications and mobile computing,inproceedings
662,604435,conf/nips/chechikgaynt01,amir globerson|e d young|gal chechik|israel nelken|m j anderson|naftali tishby,,group redundancy measures reveal redundancy reduction in the auditory pathway,2001,,,,,,nips,string processing and information retrieval,inproceedings
663,272684,conf/gil/knorzergc10,heike knorzer|simone graeffhonninger|wilhelm claupein,,modelbased approach to quantify and regionalize peanut production in the major peanut production provinces in the peoples republic of china,2010,,,,,,gil jahrestagung,fast software encryption,inproceedings
664,751192,conf/vl/scaffidism05,brad a myers|christopher scaffidi|mary shaw,,estimating the numbers of end users and end user programmers,2005,,,,,,,,article
665,549168,conf/jcdl/wardc08,jewel h ward|jonathan crabtree,,integrating ddi metadata into the nara transcontinental persistent archive prototype via the oaipmh,2008,,,,,,jcdl,workshop on electronic design,phdthesis
666,656353,conf/robocup/nardicgss00,a guidotti|c sanitati|claudio castelpietra|daniele nardi|massimiliano salerno,,spqr,2000,,,,,,robocup,symposium on interactive d graphics,inproceedings
667,438474,conf/icws/belaidar09,jeanfrancois rainaud|nabil belaid|yamine ait ameur,,a semantic repository for geological modeling workflows,2009,,,,,,icws,international symposium on intelligence computation and applications,inproceedings
668,2159004,journals/nar/zhangks05,bing zhang|jay snoddy|stefan kirov,,webgestalt an integrated system for exploring gene sets in various biological contexts,2005,,,,nucleic acids research,international journal of ad hoc and ubiquitous computing ijahuc,,messung,inproceedings
669,2356129,journals/trob/salarisfpb10,antonio bicchi|daniele fontanelli|lucia pallottino|paolo salaris,,shortest paths for a robot with nonholonomic and fieldofview constraints,2010,,,,,,,messung,inproceedings
670,883623,conf/cdc/lozabf09,alejandra ferreira de loza|francisco javier bejarano|leonid m fridman,,robust output regulation with exact unmatched uncertainties compensation based on hosm observation,2009,,,,,,cdc,working conference on reverse engineering,inproceedings
671,522409,conf/ispa/liuxz05,nong xiao|xingming zhou|zhong liu,,rdim a selfadaptive and balanced distribution for replicated data in scalable storage clusters,2005,,,,,,,messung,inproceedings
672,471955,conf/infocom/fieldrs84,h c ratz|j a field|mike sablatash,,performance factors in videotex systems,1984,,,,,,infocom,languages,inproceedings
673,787337,conf/wsmai/probstl04,florian probst|michael lutz,,giving meaning to gi web service descriptions,2004,,,,,,,,incollection
674,819154,conf/paisi/tull07,bin liu|hao tu|zhitang li,,detecting botnets by analyzing dns traffic,2007,,,,,,paisi,emerging technologies and factory automation,inproceedings
675,899784,conf/icassp/yoonpk09,hong kook kim|jae sam yoon|ji hun park,,acoustic model combination to compensate for residual noise in multichannel source separation,2009,,,,,,icassp,international conference on image analysis and recognition,inproceedings
676,635731,conf/pldi/chincqr04,florin craciun|martin c rinard|shengchao qin|weingan chin,,region inference for an objectoriented language,2004,,,,,,pldi,wirtschaftsinformatik,article
677,641577,conf/ppam/steffenelm05,gregory mounie|luiz angelo steffenel,,total exchange performance modelling under network contention,2005,,,,,,,messung,inproceedings
678,10186,conf/ieeecit/wanghh06,chong wang |keqing he|yangfan he,,mfionto towards ontology registration on the semantic web,2006,,,,,,,,inproceedings
679,298758,conf/hpcs/kannllbcdglwss04,danny ngo|edmund sumbar|mark goldberg|mark lee|meng ding|michael closson|morgan kan|nicholas lamb|nolan bard|paul lu|ron senda|yang wang ,,the trellis security infrastructure a layered approach to overlay metacomputers ,2004,,,,,,,messung,phdthesis
680,129322,conf/compcon/birnbaumw86,joel s birnbaum|william s worley jr,,beyond risc highprecision architecture,1986,,,,,,,messung,phdthesis
681,901798,conf/icassp/songzw10,peter willett|shengli zhou|xiufeng song,,the role of the ambiguity function in compressed sensing radar,2010,,,,,,icassp,european conference on parallel processing,inproceedings
682,94708,conf/cbms/busayaratz07,sata busayarat|tatjana zrimec,,detection of bronchopulmonary segments on highresolution ctpreliminary results,2007,,,,,,cbms,scalespace theories in computer vision,inproceedings
683,533675,conf/itc/lur94,a k lu|gordon w roberts,,an analog multitone signal generator for builtin selftest applications,1994,,,,,,,messung,inproceedings
684,184870,conf/disco/weber93,andreas weber,,on coherence in computer algebra,1993,,,,,,,messung,inproceedings
685,680808,conf/secrypt/patelmp10,alwyn r pais|radhesh mohandas|vipul patel,,attacks on web services and mitigation schemes,2010,,,,,,secrypt,cryptographic hardware and embedded systems,inproceedings
686,520500,conf/isnn/wangrzw09,fujun ren|jing wang|long wang|mei zhu,,information dynamics and intelligent cooperation in networked societies,2009,,,,,,isnn ,artificial intelligence methodology,inproceedings
687,2178455,journals/pe/vakilhl87,aurel a lazar|faramak vakil|mantung t hsiao,,flow control in integrated local area networks,1987,,,,perform eval,international journal of metadata,,,article
688,385657,conf/iclp/olartepv07,carlos olarte|catuscia palamidessi|frank valencia,,universal timed concurrent constraint programming,2007,,,,,,iclp,computer architecture letters,inproceedings
689,304536,conf/iadis/woitschu09,robert woitsch|wilfrid utz,,the itsocket modelbased business and it alignment,2009,,,,,,,messung,phdthesis
690,702076,conf/sigmod/iveslpst00,alon y levy|ewa jaslikowska|igor tatarinov|jayant madhavan|jing su|qiong chen|rachel pottinger|shiori betzler|stefan saroiu|wai tak theodora yeung|zachary g ives,,selforganizing data sharing communities with sagres,2000,,,,,,sigmod conference,simulated evolution and learning,inproceedings
691,242918,conf/flairs/battrehhc07,andre hoing|dominic battre|felix heine|giovanni cortese,,accessing xml documents using semantic meta data in a pp environment,2007,,,,,,flairs conference,symposium on interactive d graphics,inproceedings
692,519846,conf/isnn/cubillosa07,francisco a cubillos|gonzalo acuna,,adaptive control using a grey box neural model an experimental application,2007,,,,,,isnn ,artificial intelligence methodology,inproceedings
693,299146,conf/hpdc/coxbcdefjggpksstwx02,andy j keane|barry tao|carole a goble|gang xue|graeme e pound|jasmin l wason|liming chen|m hakki eres|mark scott|matt j fairman|michael giles|mihai duta|nigel shadbolt|richard p boardman|simon j cox|zhuoan jiao,,grid services in action grid enabled optimisation and design search,2002,,,,,,,messung,inproceedings
694,1831462,journals/appml/dengyy09,jianning yu|liu yang|zuicha deng,,identifying the radiative coefficient of heat conduction equations from discrete measurement data,2009,,,,,,,messung,article
695,85569,conf/caine/kiman05,charles j kim|chibuike nwakamma|daniel a akinbodunse,,modeling arrival flight traffic using arenar,2005,,,,,,caine,advances in mobile multimedia,inproceedings
696,348443,conf/icdcs/shenllz04,jyhcharn liu|t c lam|wei zhao|yiping shen,,on the confidential auditing of distributed computing systems,2004,,,,,,icdcs,sigmetrics performance evaluation review,inproceedings
697,2315359,journals/mam/salcichrb06,dong hui|morteza biglariabhari|partha s roop|zoran a salcic,,hidra  a reactive multiprocessor architecture for heterogeneous embedded systems,2006,,,,,,,,article
698,515792,conf/ismir/bainbridgeb06,david bainbridge|tim bell,,identifying music documents in a collection of images,2006,,,,,,,messung,phdthesis
699,680149,conf/sec/meierbh02,michael meier|niels bischof|thomas holz,,shedela simple hierarchical event description language for specifying attack signatures,2002,,,,,,,messung,phdthesis
700,585286,conf/miccai/coupemfprc10,d louis collins|jens c pruessner|jose v manjon|montserrat robles|pierrick coupe|vladimir fonov,,nonlocal patchbased label fusion for hippocampus segmentation,2010,,,,,,,messung,inproceedings
701,435399,conf/icvs/gregorlpsd01,ernst d dickmanns|karlheinz siedersberger|martin pellkofer|michael lutzeler|rudolf gregor,,a vision system for autonomous ground vehicles with a wide range of maneuvering capabilities,2001,,,,,,,messung,inproceedings
702,816348,conf/etfa/canutod06,enrico s canuto|tommaso danna,,embedded model control and dynamic simulation,2006,,,,,,etfa,high performance computing,inproceedings
703,542630,conf/iwann/medrano-marquesm01,bonifacio martindelbrio|nicolas j medranomarques,,manmachine voice interface using a commercially available neural chip,2001,,,,,,iwann ,workshop em engenharia de requisitos,inproceedings
704,350288,conf/icdcsw/zhangddb09,arjan durresi|leonard barolli|mimoza durresi|ping zhang,,mobility over heterogeneous multi domain networks,2009,,,,,,icdcs workshops,international agent technology conference,inproceedings
705,2369638,journals/percom/messerknrscg08,alan messer|anugeetha kunjithapatham|doreen cheng|mithun sheshagiri|phuong nguyen|priyang rathod|simon gibbs,,seensearch a context directed search facilitator for home entertainment devices,2008,,,,pervasive and mobile computing,wirtschaftsinformatik,,messung,inproceedings
706,212266,conf/emo/aertshs03,jeroen c j h aerts|marjan van herwijnen|theodor j stewart,,using simulated annealing and spatial goal programming for solving a multi site land use allocation problem,2003,,,,,,,messung,inproceedings
707,203069,conf/ecoop/stroudw95,robert j stroud|zhixue wu,,using metaobject protocols to implement atomic data types,1995,,,,,,,messung,inproceedings
708,2260951,journals/tit/zeitounid88,amir dembo|ofer zeitouni,,exact filters for the estimation of the number of transitions of finitestate continuoustime markov processes,1988,,,,ieee transactions on information theory,international journal of ambient computing and intelligence ijaci,,messung,article
709,727731,conf/stacs/giesenj02,joachim giesen|matthias john,,a new diagram from disks in the plane,2002,,,,,,stacs,international conference on evolvable systems,inproceedings
710,140606,conf/crv/zhangsb04,ching y suen|ping zhang |tien d bui,,multimodal nonlinear feature reduction for the recognition of handwritten numerals,2004,,,,,,crv,international symposium on quality electronic design,phdthesis
711,469911,conf/incdm/ginsesbi06,geert gins|ilse y smets|jairo espinosa|jan f m van impe|wim van brempt,,data alignment via dynamic time warping as a prerequisite for batchend quality prediction,2006,,,,,,,messung,inproceedings
712,358818,conf/iceis/nixonwtod00,marcus oconnell|paddy nixon|simon a dobson|sotirios terzis|vincent p wade,,the virtues architecture a software infrastructure for businesstobusiness ecommerce,2000,,,,,,iceis,tapsoft,inproceedings
713,440705,conf/ideas/obermeierbw07,sebastian obermeier|stefan bottcher|thomas wycisk,,xpath selectivity estimation for a mobile auction application,2007,,,,,,ideas,automated and algorithmic debugging,inproceedings
714,361848,conf/icete/sadouna08,balqies sadoun|omar albayari,,gisbased map generation using new survey techniques,2008,,,,,,iceb,ieee visualization,inproceedings
